id_pokémon,Pokémon,Type,Talent,Tier,PV,Attaque,Défense,Atq Spé,Déf Spé,Vitesse
1,Bulbizarre,Type Plante Type Poison,Engrais Chlorophylle,Untiered,45,49,49,65,65,45
2,Herbizarre,Type Plante Type Poison,Engrais Chlorophylle,Untiered,60,62,63,80,80,60
3,Florizarre,Type Plante Type Poison,Engrais Chlorophylle,Untiered,80,82,83,100,100,80
4,Méga Florizarre,Type Plante Type Poison,Isograisse,Untiered,80,100,123,122,120,80
5,Florizarre Gigamax,Type Plante Type Poison,Engrais Chlorophylle,Untiered,80,82,83,100,100,80
6,Salamèche,Type Feu,Brasier Force Soleil,Untiered,39,52,43,60,50,65
7,Reptincel,Type Feu,Brasier Force Soleil,Untiered,58,64,58,80,65,80
8,Dracaufeu,Type Feu Type Vol,Brasier Force Soleil,Untiered,78,84,78,109,85,100
9,Dracaufeu Gigamax,Type Feu Type Vol,Brasier Force Soleil,Untiered,78,84,78,109,85,100
10,Méga Dracaufeu X,Type Feu Type Dragon,Griffe Dure,Untiered,78,130,111,130,85,100
11,Méga Dracaufeu Y,Type Feu Type Vol,Sécheresse,Untiered,78,104,78,159,115,100
12,Carapuce,Type Eau,Torrent Cuvette,Untiered,44,48,65,50,64,43
13,Carabaffe,Type Eau,Torrent Cuvette,Untiered,59,63,80,65,80,58
14,Tortank,Type Eau,Torrent Cuvette,Untiered,79,83,100,85,105,78
15,Méga Tortank,Type Eau,Méga Blaster,Untiered,79,103,120,135,115,78
16,Tortank Gigamax,Type Eau,Torrent Cuvette,Untiered,79,83,100,85,105,78
17,Chenipan,Type Insecte,Écran Poudre Fuite,Untiered,45,30,35,20,20,45
18,Chrysacier,Type Insecte,Mue,Untiered,50,20,55,25,25,30
19,Papilusion,Type Insecte Type Vol,Oeil Composé Lentiteintée,Untiered,60,45,50,90,80,70
20,Papilusion Gigamax,Type Insecte Type Vol,Oeil Composé Lentiteintée,Untiered,60,45,50,90,80,70
21,Aspicot,Type Insecte Type Poison,Écran Poudre Fuite,Untiered,40,35,30,20,20,50
22,Coconfort,Type Insecte Type Poison,Mue,Untiered,45,25,50,25,25,35
23,Dardargnan,Type Insecte Type Poison,Essaim Sniper,Untiered,65,90,40,45,80,75
24,Méga Dardargnan,Type Insecte Type Poison,Adaptabilité,Untiered,65,150,40,15,80,145
25,Roucool,Type Normal Type Vol,Regard Vif Pieds Confus Coeur de Coq,Untiered,40,45,40,35,35,56
26,Roucoups,Type Normal Type Vol,Regard Vif Pieds Confus Coeur de Coq,Untiered,63,60,55,50,50,71
27,Roucarnage,Type Normal Type Vol,Regard Vif Pieds Confus Coeur de Coq,Untiered,83,80,75,70,70,101
28,Méga Roucarnage,Type Normal Type Vol,Annule Garde,Untiered,83,80,80,135,80,121
29,Rattata,Type Normal,Fuite Cran Agitation,Untiered,30,56,35,25,35,72
30,Rattata d'Alola,Type Ténèbres Type Normal,Gloutonnerie Agitation Isograisse,Untiered,30,56,35,25,35,72
31,Rattatac,Type Normal,Fuite Cran Agitation,Untiered,55,81,60,50,70,97
32,Rattatac d'Alola,Type Ténèbres Type Normal,Gloutonnerie Agitation Isograisse,Untiered,75,71,70,40,80,77
33,Piafabec,Type Normal Type Vol,Regard Vif Sniper,Untiered,40,60,30,31,31,70
34,Rapasdepic,Type Normal Type Vol,Regard Vif Sniper,Untiered,65,90,65,61,61,100
35,Abo,Type Poison,Intimidation Mue Tension,Untiered,35,60,44,40,54,55
36,Arbok,Type Poison,Intimidation Mue Tension,Untiered,60,95,69,65,79,80
37,Pikachu,Type Électrik,Statik Paratonnerre,NFE,35,55,40,50,50,90
38,Pikachu Cosplayeur,Type Électrik,Paratonnerre,Untiered,35,55,40,50,50,90
39,Pikachu Casquette de Sinnoh,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
40,Pikachu Gigamax,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
41,Pikachu Casquette Originale,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
